---,ObjectModel,Category,Icon,SubCategory,SocketClassIDs,PlugClassIDs,NiceName,bShowInDrawer,VariantOf
^PANEL_GLASS,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PANEL_GLASS.PANEL_GLASS'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PANEL_GLASS.PANEL_GLASS'","Rooms and Foundations","","(""MAINROOMWINDOW"")","LARGE GLASS PANEL","True","None"
^PEARLPLANT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PEARLPLANT.PEARLPLANT'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PEARLPLANT.PEARLPLANT'","Farming","","","ALBUMEN PEARL ORB","True","None"
^PIPE,"None","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PIPE.PIPE'","Structural Adornments","","","PIPE","True","None"
^PIPESHAPE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PIPESHAPE.PIPESHAPE'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PIPESHAPE.PIPESHAPE'","Structural Adornments","(""PIPES"")","(""PIPES"")","PIPE","True","None"
^PLANTER,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PLANTER.PLANTER'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PLANTER.PLANTER'","Farming","","","HYDROPONIC TRAY","True","None"
^PLANTERMEGA,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PLANTERMEGA.PLANTERMEGA'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PLANTERMEGA.PLANTERMEGA'","Farming","","","LARGE HYDROPONIC TRAY","True","None"
^PLANTPOT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PLANTPOT.PLANTPOT'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PLANTPOT.PLANTPOT'","Farming","","","POTTED PLANT","True","None"
^PLANTPOT1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PLANTPOT1.PLANTPOT1'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PLANTPOT1.PLANTPOT1'","Farming","","","FLORA CONTAINMENT 1","True","None"
^PLANTPOT2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PLANTPOT2.PLANTPOT2'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PLANTPOT2.PLANTPOT2'","Farming","","","FLORA CONTAINMENT 2","True","None"
^PLANTPOT3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PLANTPOT3.PLANTPOT3'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PLANTPOT3.PLANTPOT3'","Farming","","","FLORA CONTAINMENT 3","True","None"
^PLANTPOT4,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PLANTPOT4.PLANTPOT4'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PLANTPOT4.PLANTPOT4'","Farming","","","ILLUMINATED POT","True","None"
^PLANTTUBE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PLANTTUBE.PLANTTUBE'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PLANTTUBE.PLANTTUBE'","Derelict Freighter Salvage","","(""PROP"")","FLORAL CANISTER","True","None"
^POOPPLANT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/POOPPLANT.POOPPLANT'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/POOPPLANT.POOPPLANT'","Farming","","","GUTROT FLOWER","True","None"
^POWERLINE_HIDER,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/POWERLINE_HIDER.POWERLINE_HIDER'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/POWERLINE_HIDER.POWERLINE_HIDER'","General Utility","","","ELECTRICAL CLOAKING UNIT","True","None"
^PYRAMIDSHAPE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/PYRAMIDSHAPE.PYRAMIDSHAPE'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/PYRAMIDSHAPE.PYRAMIDSHAPE'","Structural Adornments","","(""PROP"")","PYRAMID","True","None"
^RACE_BOOSTER,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/RACE_BOOSTER.RACE_BOOSTER'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/RACE_BOOSTER.RACE_BOOSTER'","Exocraft Geobays","","(""PROP"")","RACE FORCE AMPLIFIER","True","None"
^RACE_RAMP,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/RACE_RAMP.RACE_RAMP'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/RACE_RAMP.RACE_RAMP'","Exocraft Geobays","","(""PROP"")","RACE OBSTACLE","True","None"
^RACE_START,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/RACE_START.RACE_START'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/RACE_START.RACE_START'","Exocraft Geobays","","(""PROP"")","RACE INITIATOR","True","None"
^RADIOPLANT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/RADIOPLANT.RADIOPLANT'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/RADIOPLANT.RADIOPLANT'","Farming","","","GAMMA WEED","True","None"
^ROBOTICARM,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ROBOTICARM.ROBOTICARM'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ROBOTICARM.ROBOTICARM'","Decorative Technology","","(""PROP"")","ROBOTIC ARM","True","None"
^ROOFMONITOR,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ROOFMONITOR.ROOFMONITOR'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ROOFMONITOR.ROOFMONITOR'","Decorative Technology","","(""PROP"")","CEILING PANEL","True","None"
^ROOMFLOOR,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ROOMFLOOR.ROOMFLOOR'","Legacy Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ROOMFLOOR.ROOMFLOOR'","Super Legacy","","","ROOF PLATFORM","True","None"
^SACVENOMPLANT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SACVENOMPLANT.SACVENOMPLANT'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SACVENOMPLANT.SACVENOMPLANT'","Farming","","","VENOM URCHIN","True","None"
^SCORCHEDPLANT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SCORCHEDPLANT.SCORCHEDPLANT'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SCORCHEDPLANT.SCORCHEDPLANT'","Farming","","","SOLAR VINE","True","None"
^SERVERSTACK,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SERVERSTACK.SERVERSTACK'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SERVERSTACK.SERVERSTACK'","Decorative Technology","","(""PROP"")","SERVER","True","None"
^SET_CONSTRUCT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_CONSTRUCT.SET_CONSTRUCT'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_CONSTRUCT.SET_CONSTRUCT'","Settlement","","","","True","None"
^SET_F_MONU,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_F_MONU.SET_F_MONU'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_F_MONU.SET_F_MONU'","Settlement","","","","True","None"
^SET_F_MONU_FA,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_F_MONU_FA.SET_F_MONU_FA'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_F_MONU_FA.SET_F_MONU_FA'","Settlement","","","","True","None"
^SET_GROUNDDECAL,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_GROUNDDECAL.SET_GROUNDDECAL'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_GROUNDDECAL.SET_GROUNDDECAL'","Settlement","","","","True","None"
^SET_MAYORTERM,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_MAYORTERM.SET_MAYORTERM'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_MAYORTERM.SET_MAYORTERM'","Settlement","","","","True","None"
^SET_MONUMENT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_MONUMENT.SET_MONUMENT'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_MONUMENT.SET_MONUMENT'","Settlement","","","","True","None"
^SET_MONUMENT_FA,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_MONUMENT_FA.SET_MONUMENT_FA'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_MONUMENT_FA.SET_MONUMENT_FA'","Settlement","","","","True","None"
^SET_SFXCONST_S0,"None","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_SFXCONST_S0.SET_SFXCONST_S0'","Settlement","","","","True","None"
^SET_S_TOWER,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_S_TOWER.SET_S_TOWER'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_S_TOWER.SET_S_TOWER'","Settlement","","","","True","None"
^SET_S_TOWER_FA,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_S_TOWER_FA.SET_S_TOWER_FA'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_S_TOWER_FA.SET_S_TOWER_FA'","Settlement","","","","True","None"
^SET_T_MONU,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_T_MONU.SET_T_MONU'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_T_MONU.SET_T_MONU'","Settlement","","","","True","None"
^SET_T_MONU_FA,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SET_T_MONU_FA.SET_T_MONU_FA'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SET_T_MONU_FA.SET_T_MONU_FA'","Settlement","","","","True","None"
^SHELFPANEL,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SHELFPANEL.SHELFPANEL'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SHELFPANEL.SHELFPANEL'","Decorative Technology","","(""PROP"")","SHELF PANEL","True","None"
^SHIELDSTATION,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SHIELDSTATION.SHIELDSTATION'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SHIELDSTATION.SHIELDSTATION'","General Utility","","(""PROP"")","HAZARD PROTECTION UNIT","True","None"
^SLIME_MED,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SLIME_MED.SLIME_MED'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SLIME_MED.SLIME_MED'","Decorative Plants","","(""PROP"")","DETOXIFIED SLIME","True","None"
^SMALLLIGHT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SMALLLIGHT.SMALLLIGHT'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SMALLLIGHT.SMALLLIGHT'","Lighting","","","LANTERN","True","None"
^SNOWPLANT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SNOWPLANT.SNOWPLANT'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SNOWPLANT.SNOWPLANT'","Farming","","","FROSTWORT","True","None"
^SPAWNER_BALL,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPAWNER_BALL.SPAWNER_BALL'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPAWNER_BALL.SPAWNER_BALL'","General Utility","(""POWERSPAWNERBALL"")","","SPHERE CREATOR","True","None"
^SPEC_DECAL01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_DECAL01.SPEC_DECAL01'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_DECAL01.SPEC_DECAL01'","Decals","","","ANOMALY DECAL","True","None"
^SPEC_DECAL02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_DECAL02.SPEC_DECAL02'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_DECAL02.SPEC_DECAL02'","Decals","","","GALACTIC HUB DECAL","True","None"
^SPEC_DECAL03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_DECAL03.SPEC_DECAL03'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_DECAL03.SPEC_DECAL03'","Decals","","","HAND OF APPROVAL DECAL","True","None"
^SPEC_DECAL04,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_DECAL04.SPEC_DECAL04'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_DECAL04.SPEC_DECAL04'","Decals","","","NADA DECAL","True","None"
^SPEC_DECAL05,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_DECAL05.SPEC_DECAL05'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_DECAL05.SPEC_DECAL05'","Decals","","","POLO DECAL","True","None"
^SPEC_DECAL06,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_DECAL06.SPEC_DECAL06'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_DECAL06.SPEC_DECAL06'","Decals","","","APOLLO DECAL","True","None"
^SPEC_DECAL07,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_DECAL07.SPEC_DECAL07'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_DECAL07.SPEC_DECAL07'","Decals","","","ARTEMIS DECAL","True","None"
^SPEC_DECAL08,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_DECAL08.SPEC_DECAL08'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_DECAL08.SPEC_DECAL08'","Decals","","","NULL DECAL","True","None"
^SPEC_FIREWORK01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_FIREWORK01.SPEC_FIREWORK01'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_FIREWORK01.SPEC_FIREWORK01'","Fireworks","","(""PROP"")","BLUE FIREWORK","True","None"
^SPEC_FIREWORK02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_FIREWORK02.SPEC_FIREWORK02'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_FIREWORK02.SPEC_FIREWORK02'","Fireworks","","(""PROP"")","RED FIREWORK","True","None"
^SPEC_FIREWORK03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_FIREWORK03.SPEC_FIREWORK03'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_FIREWORK03.SPEC_FIREWORK03'","Fireworks","","(""PROP"")","GREEN FIREWORK","True","None"
^SPEC_FIREWORK04,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_FIREWORK04.SPEC_FIREWORK04'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_FIREWORK04.SPEC_FIREWORK04'","Fireworks","","(""PROP"")","TRIPLE BURST FIREWORK","True","None"
^SPEC_FIREWORK05,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_FIREWORK05.SPEC_FIREWORK05'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_FIREWORK05.SPEC_FIREWORK05'","Fireworks","","(""PROP"")","DUAL CHROME FIREWORK","True","None"
^SPEC_FIREWORK06,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPEC_FIREWORK06.SPEC_FIREWORK06'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPEC_FIREWORK06.SPEC_FIREWORK06'","Fireworks","","(""PROP"")","WHEEL OF HIRK FIREWORK","True","None"
^SPHERESHAPE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPHERESHAPE.SPHERESHAPE'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPHERESHAPE.SPHERESHAPE'","Structural Adornments","","(""PROP"")","SPHERE","True","None"
^SPOOKY_PLANT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SPOOKY_PLANT.SPOOKY_PLANT'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SPOOKY_PLANT.SPOOKY_PLANT'","Decorative Plants","","(""PROP"")","ORANGE PUSTULE","True","None"
^STATUE_ASTRO_B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_ASTRO_B.STATUE_ASTRO_B'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_ASTRO_B.STATUE_ASTRO_B'","Statues","","(""PROP"")","BRONZE ASTRONAUT STATUE","True","None"
^STATUE_ASTRO_G,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_ASTRO_G.STATUE_ASTRO_G'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_ASTRO_G.STATUE_ASTRO_G'","Statues","","(""PROP"")","GOLD ASTRONAUT STATUE","True","None"
^STATUE_ASTRO_S,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_ASTRO_S.STATUE_ASTRO_S'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_ASTRO_S.STATUE_ASTRO_S'","Statues","","(""PROP"")","SILVER ASTRONAUT STATUE","True","None"
^STATUE_ATLAS_B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_ATLAS_B.STATUE_ATLAS_B'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_ATLAS_B.STATUE_ATLAS_B'","Statues","","(""PROP"")","BRONZE ATLAS STATUE","True","None"
^STATUE_ATLAS_G,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_ATLAS_G.STATUE_ATLAS_G'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_ATLAS_G.STATUE_ATLAS_G'","Statues","","(""PROP"")","GOLD ATLAS STATUE","True","None"
^STATUE_ATLAS_S,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_ATLAS_S.STATUE_ATLAS_S'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_ATLAS_S.STATUE_ATLAS_S'","Statues","","(""PROP"")","SILVER ATLAS STATUE","True","None"
^STATUE_BLOB_B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_BLOB_B.STATUE_BLOB_B'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_BLOB_B.STATUE_BLOB_B'","Statues","","(""PROP"")","BRONZE BLOB STATUE","True","None"
^STATUE_BLOB_G,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_BLOB_G.STATUE_BLOB_G'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_BLOB_G.STATUE_BLOB_G'","Statues","","(""PROP"")","GOLD BLOB STATUE","True","None"
^STATUE_BLOB_S,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_BLOB_S.STATUE_BLOB_S'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_BLOB_S.STATUE_BLOB_S'","Statues","","(""PROP"")","SILVER BLOB STATUE","True","None"
^STATUE_DIP_B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_DIP_B.STATUE_DIP_B'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_DIP_B.STATUE_DIP_B'","Statues","","(""PROP"")","BRONZE DIPLO STATUE","True","None"
^STATUE_DIP_G,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_DIP_G.STATUE_DIP_G'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_DIP_G.STATUE_DIP_G'","Statues","","(""PROP"")","GOLD DIPLO STATUE","True","None"
^STATUE_DIP_S,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_DIP_S.STATUE_DIP_S'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_DIP_S.STATUE_DIP_S'","Statues","","(""PROP"")","SILVER DIPLO STATUE","True","None"
^STATUE_GEK_B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_GEK_B.STATUE_GEK_B'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_GEK_B.STATUE_GEK_B'","Statues","","(""PROP"")","BRONZE GEK STATUE","True","None"
^STATUE_GEK_G,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_GEK_G.STATUE_GEK_G'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_GEK_G.STATUE_GEK_G'","Statues","","(""PROP"")","GOLD GEK STATUE","True","None"
^STATUE_GEK_S,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_GEK_S.STATUE_GEK_S'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_GEK_S.STATUE_GEK_S'","Statues","","(""PROP"")","SILVER GEK STATUE","True","None"
^STATUE_SHIP_B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_SHIP_B.STATUE_SHIP_B'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_SHIP_B.STATUE_SHIP_B'","Statues","","(""PROP"")","BRONZE FIGHTER STATUE","True","None"
^STATUE_SHIP_G,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_SHIP_G.STATUE_SHIP_G'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_SHIP_G.STATUE_SHIP_G'","Statues","","(""PROP"")","GOLD FIGHTER STATUE","True","None"
^STATUE_SHIP_S,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_SHIP_S.STATUE_SHIP_S'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_SHIP_S.STATUE_SHIP_S'","Statues","","(""PROP"")","SILVER FIGHTER STATUE","True","None"
^STATUE_WALK_B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_WALK_B.STATUE_WALK_B'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_WALK_B.STATUE_WALK_B'","Statues","","(""PROP"")","BRONZE WALKER STATUE","True","None"
^STATUE_WALK_G,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_WALK_G.STATUE_WALK_G'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_WALK_G.STATUE_WALK_G'","Statues","","(""PROP"")","GOLD WALKER STATUE","True","None"
^STATUE_WALK_S,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STATUE_WALK_S.STATUE_WALK_S'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STATUE_WALK_S.STATUE_WALK_S'","Statues","","(""PROP"")","SILVER WALKER STATUE","True","None"
^STORAGEPANEL,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/STORAGEPANEL.STORAGEPANEL'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/STORAGEPANEL.STORAGEPANEL'","Decorative Technology","","(""PROP"")","STORAGE PANEL","True","None"
^SUMMON_GARAGE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/SUMMON_GARAGE.SUMMON_GARAGE'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/SUMMON_GARAGE.SUMMON_GARAGE'","Exocraft Geobays","","(""PROP"")","EXOCRAFT SUMMONING STATION","True","None"
^S_ANTENNA0,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/S_ANTENNA0.S_ANTENNA0'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/S_ANTENNA0.S_ANTENNA0'","Structural Adornments","","(""PROP"")","DISH RECEPTOR ANTENNA","True","None"
^S_ANTENNA1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/S_ANTENNA1.S_ANTENNA1'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/S_ANTENNA1.S_ANTENNA1'","Structural Adornments","","(""PROP"")","TALL ANTENNA","True","None"
^S_ANTENNA2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/S_ANTENNA2.S_ANTENNA2'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/S_ANTENNA2.S_ANTENNA2'","Structural Adornments","","(""PROP"")","DUAL-PRONGED ANTENNA","True","None"
^S_ANTENNA3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/S_ANTENNA3.S_ANTENNA3'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/S_ANTENNA3.S_ANTENNA3'","Structural Adornments","","(""PROP"")","METEOROLOGICAL SPINNER","True","None"
^S_ARCH,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/S_ARCH.S_ARCH'","Stone Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/S_ARCH.S_ARCH'","Walls, Doors and Windows","(""WALL"")","(""WALL_to_WALL"",""WALL_to_WALL_Top"",""WALL_to_WALL_Bottom"",""WALL_to_WALL_H"",""WALL_to_WALL_H_Top"",""WALL_to_FLOOR"",""WALL_to_FLOOR_Q_A"",""WALL_to_FLOOR_Q_B"")","STONE ARCH","True","None"
^S_ARCHB,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/S_ARCH.S_ARCH'","Stone Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/S_ARCHB.S_ARCHB'","Walls, Doors and Windows","(""WALL"")","(""WALL_to_WALL"",""WALL_to_WALL_Top"",""WALL_to_WALL_Bottom"",""WALL_to_WALL_H"",""WALL_to_WALL_H_Top"",""WALL_to_FLOOR"",""WALL_to_FLOOR_Q_A"",""WALL_to_FLOOR_Q_B"")","STONE ARCH (BASE)","False","^S_ARCH"
^S_ARCHB_H,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/S_ARCH_H.S_ARCH_H'","Stone Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/S_ARCHB_H.S_ARCHB_H'","Walls, Doors and Windows","(""WALL_H"")","(""WALL_H_to_WALL_H"",""WALL_H_to_WALL_H_Top"",""WALL_H_to_WALL_H_Bottom"",""WALL_H_to_FLOOR"")","STONE HALF ARCH (BASE)","False","^S_ARCH_H"
